 ,0 minute,1 minute,2 minute,3 minute,4 minute,5 minute,6 minute,7 minute,8 minute,9 minute,10 minute,11 minute,12 minute,13 minute,14 minute,15 minute,16 minute,17 minute,18 minute,19 minute,20 minute,21 minute,22 minute,23 minute,24 minute,25 minute,26 minute,27 minute,28 minute,29 minute,30 minute,31 minute,32 minute,33 minute,34 minute,35 minute,36 minute,37 minute,38 minute,39 minute,40 minute,41 minute,42 minute,43 minute,44 minute,45 minute,46 minute,47 minute,48 minute,49 minute,50 minute,51 minute,52 minute,53 minute,54 minute,55 minute,56 minute,57 minute,58 minute,59 minute,60 minute
 O,nan,8.532358971807483e-12,8.541647255976557e-12,8.541942507091431e-12,8.542007113275773e-12,8.542137077217305e-12,8.542257051650066e-12,8.54227520564677e-12,8.542381494264538e-12,8.5424954498688e-12,8.54260879940396e-12,8.54272054602441e-12,8.542831928349052e-12,8.54294102858902e-12,8.543048344289335e-12,8.543153935315777e-12,8.543258579597606e-12,8.543366272045166e-12,8.54346897582564e-12,8.543570230613945e-12,8.54367039720926e-12,8.543769085873925e-12,8.54386350584207e-12,8.543960087256268e-12,8.544056159213239e-12,8.544151561444473e-12,8.544246464024074e-12,8.544341653681924e-12,8.544435729769227e-12,8.54452929456709e-12,8.544622400418705e-12,8.544715188574075e-12,8.544808401605144e-12,8.544900742571326e-12,8.544992695659236e-12,8.545084282412902e-12,8.545177024899282e-12,8.545279658331544e-12,8.54537410014022e-12,8.54546779730649e-12,8.545561236729917e-12,8.545655193381361e-12,8.545754124251219e-12,8.54584881799857e-12,8.545943015650257e-12,8.546036946222672e-12,8.54613065669742e-12,8.546224441073079e-12,8.546319022147987e-12,8.546413651456187e-12,8.546508128606143e-12,8.546601825375321e-12,8.546691586187347e-12,8.546784733773084e-12,8.546877903366885e-12,8.546970773912586e-12,8.547063847757633e-12,8.547160274951615e-12,8.547253609019164e-12,8.54734646253298e-12,8.547438966431586e-12
 O3,0.0,4.913222574421073e-06,4.918573914006489e-06,4.918745088121604e-06,4.918782742137408e-06,4.918857781436552e-06,4.918926958479009e-06,4.918937409914561e-06,4.9189986288869065e-06,4.919064254456172e-06,4.919129527627102e-06,4.919193876065499e-06,4.919258014274051e-06,4.919320838303747e-06,4.919382634729033e-06,4.919443438050211e-06,4.919503695886002e-06,4.919565709096911e-06,4.919624849816397e-06,4.919683156249895e-06,4.9197408361278e-06,4.919797665173899e-06,4.919852036159405e-06,4.919907651773036e-06,4.919962974040782e-06,4.920017910687298e-06,4.920072559689866e-06,4.9201273740188025e-06,4.920181547142212e-06,4.920235425882513e-06,4.920289040385023e-06,4.9203424718902635e-06,4.920396148120529e-06,4.920449322264078e-06,4.9205022731157155e-06,4.920555013071809e-06,4.9206084178847305e-06,4.920667518424158e-06,4.920721902257048e-06,4.920775857483598e-06,4.920829664407965e-06,4.9208837687910595e-06,4.920940737632479e-06,4.920995266841807e-06,4.921049510541371e-06,4.921103600556509e-06,4.921157563753625e-06,4.921211569585498e-06,4.9212660343321e-06,4.921320526964529e-06,4.921374932069963e-06,4.921428887963763e-06,4.921480577456973e-06,4.921534217231099e-06,4.921587869745241e-06,4.921641350131107e-06,4.921694947505525e-06,4.921750475938064e-06,4.921804223392189e-06,4.921857694254098e-06,4.921910963907364e-06
 NO,nan,3.8195935665892465e-11,3.8237515575240115e-11,3.8238837295868375e-11,3.823912651183619e-11,3.823970830811416e-11,3.824024538536165e-11,3.824032665349507e-11,3.8240802464843896e-11,3.8241312598202624e-11,3.824182001843334e-11,3.824232026306014e-11,3.8242818876881004e-11,3.824330727472761e-11,3.8243787683908734e-11,3.8244260372419316e-11,3.82447288227356e-11,3.824521091846238e-11,3.8245670681935295e-11,3.824612395885367e-11,3.8246572364370225e-11,3.824701415378627e-11,3.824743683396678e-11,3.8247869190071016e-11,3.8248299265540355e-11,3.824872634291725e-11,3.8249151183554943e-11,3.824957730932641e-11,3.824999845009091e-11,3.8250417302018426e-11,3.82508340994284e-11,3.825124947464026e-11,3.82516667518495e-11,3.8252080125175383e-11,3.825249176212644e-11,3.825290175914662e-11,3.825331692991707e-11,3.8253776378469425e-11,3.8254199156421306e-11,3.825461860090896e-11,3.8255036891585725e-11,3.825545749768432e-11,3.8255900371355644e-11,3.825632427713563e-11,3.8256745962095076e-11,3.825716645144823e-11,3.825758595551284e-11,3.825800579040197e-11,3.8258429191792905e-11,3.82588528091049e-11,3.8259275745265744e-11,3.825969518797603e-11,3.8260097010990985e-11,3.826051399522823e-11,3.8260931077986795e-11,3.826134682202742e-11,3.8261763476157526e-11,3.8262195141880545e-11,3.8262612960921967e-11,3.82630286287179e-11,3.826344273142735e-11
 NO2,0.0,1.3733674040082284e-11,1.3748624450332698e-11,1.3749099686138427e-11,1.3749203676165424e-11,1.3749412865956689e-11,1.3749605976648571e-11,1.3749635197298366e-11,1.3749806279320821e-11,1.374998970211498e-11,1.3750172149381129e-11,1.3750352016597824e-11,1.3750531297444467e-11,1.3750706905050545e-11,1.3750879640263952e-11,1.3751049599444459e-11,1.375121803474605e-11,1.3751391376371287e-11,1.3751556688244403e-11,1.3751719667821571e-11,1.375188089584472e-11,1.3752039744992585e-11,1.3752191723252001e-11,1.375234718057222e-11,1.3752501817870734e-11,1.3752655377179567e-11,1.3752808132249767e-11,1.3752961349400759e-11,1.3753112774150026e-11,1.375326337592846e-11,1.3753413238987603e-11,1.3753562590683283e-11,1.3753712626258342e-11,1.3753861258158869e-11,1.3754009265731032e-11,1.3754156683652084e-11,1.3754305961838957e-11,1.375447116047964e-11,1.3754623173893541e-11,1.3754773988731952e-11,1.3754924388707831e-11,1.3755075621213262e-11,1.3755234860214259e-11,1.3755387279148337e-11,1.375553889956745e-11,1.3755690090096124e-11,1.375584092635587e-11,1.3755991881566431e-11,1.3756144119143072e-11,1.3756296434355968e-11,1.3756448504655152e-11,1.3756599318854438e-11,1.3756743797742143e-11,1.3756893727976465e-11,1.3757043693634948e-11,1.3757193177945985e-11,1.3757342989487386e-11,1.3757498198574929e-11,1.375764842897014e-11,1.3757797885866684e-11,1.3757946780023028e-11
 NO3,nan,1.556525890030284e-11,1.5582203164695468e-11,1.5582741780046822e-11,1.5582859638637173e-11,1.5583096726917814e-11,1.5583315591721147e-11,1.5583348709369188e-11,1.5583542607663123e-11,1.5583750492550146e-11,1.5583957271808437e-11,1.5584161126930252e-11,1.5584364317481078e-11,1.5584563344911394e-11,1.5584759116873787e-11,1.5584951742579017e-11,1.558514264117383e-11,1.558533910042188e-11,1.5585526459033726e-11,1.558571117430411e-11,1.5585893904425325e-11,1.5586073938413667e-11,1.5586246185180832e-11,1.5586422374992095e-11,1.5586597635419795e-11,1.558677167409226e-11,1.5586944801269217e-11,1.5587118452152098e-11,1.558729007159052e-11,1.5587460758302942e-11,1.558763060777713e-11,1.558779987769015e-11,1.558796992268774e-11,1.5588138376810463e-11,1.5588306123341534e-11,1.5588473201582983e-11,1.5588642388183615e-11,1.5588829618461855e-11,1.5589001905071803e-11,1.5589172833258834e-11,1.5589343291255392e-11,1.558951469281135e-11,1.5589695168645383e-11,1.5589867914857523e-11,1.5590039756061137e-11,1.5590211110042144e-11,1.5590382062507327e-11,1.5590553149787165e-11,1.5590725690455215e-11,1.5590898319113403e-11,1.5591070670195105e-11,1.5591241597657745e-11,1.5591405344903026e-11,1.559157527051118e-11,1.5591745236267654e-11,1.5591914656482107e-11,1.5592084447567838e-11,1.559226035604085e-11,1.5592430621840614e-11,1.5592600010984422e-11,1.5592768762338454e-11
 O1D,nan,8.532358971788143e-12,8.541647255967646e-12,8.541942507087712e-12,8.542007113274259e-12,8.542137077216815e-12,8.542257051650057e-12,8.542275205646752e-12,8.54238149426459e-12,8.54249544986889e-12,8.54260879940407e-12,8.542720546024541e-12,8.542831928349208e-12,8.542941028589199e-12,8.543048344289453e-12,8.543153935315896e-12,8.543258579597733e-12,8.543366272045287e-12,8.543468975825767e-12,8.543570230614069e-12,8.54367039720939e-12,8.543769085874057e-12,8.543863505842203e-12,8.543960087256407e-12,8.54405615921338e-12,8.544151561444615e-12,8.54424646402422e-12,8.544341653682074e-12,8.544435729769382e-12,8.544529294567247e-12,8.544622400418865e-12,8.544715188574238e-12,8.544808401605313e-12,8.544900742571494e-12,8.544992695659407e-12,8.545084282413085e-12,8.545177024899518e-12,8.545279658331838e-12,8.545374100140573e-12,8.545467797306894e-12,8.545561236730369e-12,8.545655193381867e-12,8.545754124251763e-12,8.545848817999167e-12,8.5459430156509e-12,8.546036946223362e-12,8.546130656698154e-12,8.546224441073856e-12,8.546319022148805e-12,8.546413651457048e-12,8.546508128607042e-12,8.546601825376266e-12,8.546691586188333e-12,8.546784733774113e-12,8.546877903367961e-12,8.546970773913703e-12,8.547063847758803e-12,8.547160274952832e-12,8.547253609020426e-12,8.547346462534299e-12,8.547438966432955e-12
 N2O5,nan,1.9598659464872816e-11,1.9619994469236975e-11,1.9620672654922876e-11,1.9620821053936462e-11,1.962111957849014e-11,1.962139515736829e-11,1.9621436856731408e-11,1.9621680999576684e-11,1.9621942753339866e-11,1.9622203114975098e-11,1.9622459794747323e-11,1.962271563773935e-11,1.9622966238828238e-11,1.962321274086506e-11,1.9623455281360102e-11,1.9623695647201465e-11,1.962394301461909e-11,1.962417892316735e-11,1.9624411503409305e-11,1.9624641584093533e-11,1.962486827000034e-11,1.9625085150795834e-11,1.9625306996390083e-11,1.962552767177113e-11,1.9625746808805462e-11,1.9625964798149912e-11,1.9626183446907356e-11,1.962639953781535e-11,1.9626614454301614e-11,1.9626828316597426e-11,1.9627041449151278e-11,1.9627255557636155e-11,1.9627467663005284e-11,1.9627678877425707e-11,1.9627889250383643e-11,1.9628102278036595e-11,1.9628338024996068e-11,1.9628554955958704e-11,1.9628770176492463e-11,1.9628984804996025e-11,1.9629200621562106e-11,1.9629427863809113e-11,1.9629645373469878e-11,1.962986174360871e-11,1.9630077500271742e-11,1.9630292751374817e-11,1.9630508172226694e-11,1.9630725423081027e-11,1.963094278472627e-11,1.9631159796867016e-11,1.9631375016488605e-11,1.9631581195294563e-11,1.9631795153452647e-11,1.9632009162162737e-11,1.9632222483965276e-11,1.963243627274242e-11,1.963265776409545e-11,1.9632872150598442e-11,1.9633085433279022e-11,1.9633297912900345e-11
 OH,0.0,1.486564865651338e-11,1.4881831328899715e-11,1.488234573522512e-11,1.4882458296454935e-11,1.4882684728362127e-11,1.4882893755890563e-11,1.488292538498533e-11,1.4883110568151818e-11,1.4883309109256644e-11,1.488350659442725e-11,1.48837012868918e-11,1.4883895344656406e-11,1.4884085426419587e-11,1.4884272399038017e-11,1.488445636681419e-11,1.488463868510691e-11,1.4884826314120062e-11,1.4885005251541933e-11,1.4885181664432368e-11,1.488535618140025e-11,1.488552812341785e-11,1.488569262822568e-11,1.488586089885035e-11,1.4886028281863733e-11,1.4886194498036344e-11,1.4886359843682476e-11,1.4886525689495185e-11,1.4886689595171102e-11,1.4886852610043723e-11,1.4887014825309412e-11,1.4887176487063617e-11,1.488733888906451e-11,1.488749977169581e-11,1.4887659978539064e-11,1.4887819547130675e-11,1.4887981129315185e-11,1.488815994417338e-11,1.4888324487033293e-11,1.4888487732527216e-11,1.488865052896427e-11,1.4888814226548995e-11,1.4888986590554182e-11,1.4889151572358656e-11,1.4889315689831897e-11,1.4889479341981293e-11,1.4889642610661786e-11,1.488980600809832e-11,1.4889970793597372e-11,1.4890135663131084e-11,1.489030026756498e-11,1.4890463512367412e-11,1.4890619899680943e-11,1.4890782187659598e-11,1.489094451397978e-11,1.489110631927985e-11,1.489126847878136e-11,1.4891436480713155e-11,1.489159909359221e-11,1.4891760869218314e-11,1.4891922035721644e-11
 HO2,nan,1.778161513152789e-11,1.7800972110677562e-11,1.7801587420160377e-11,1.780172206077681e-11,1.780199290835482e-11,1.7802242937627197e-11,1.780228077089437e-11,1.7802502278604168e-11,1.780273976447494e-11,1.780297598728499e-11,1.780320886958626e-11,1.7803440992689037e-11,1.7803668359878775e-11,1.780389200805052e-11,1.780411206196537e-11,1.7804330142843747e-11,1.7804554576165154e-11,1.780476861299908e-11,1.780497963010282e-11,1.780518837938943e-11,1.780539404863841e-11,1.7805590821833076e-11,1.7805792099526874e-11,1.7805992315501408e-11,1.7806191135753308e-11,1.7806388914720642e-11,1.7806587291965148e-11,1.780678334850511e-11,1.780697833950734e-11,1.780717237405593e-11,1.7807365746518394e-11,1.7807560004431505e-11,1.780775244494269e-11,1.7807944077107528e-11,1.780813494582399e-11,1.7808328223108478e-11,1.7808542113336904e-11,1.780873893204822e-11,1.7808934198908864e-11,1.7809128928628003e-11,1.7809324736259015e-11,1.7809530910269213e-11,1.780972825402594e-11,1.7809924563908688e-11,1.781012031719273e-11,1.7810315611787627e-11,1.781051106039509e-11,1.781070816933989e-11,1.7810905378803956e-11,1.7811102271166927e-11,1.7811297537200523e-11,1.7811484600615818e-11,1.7811678722138676e-11,1.7811872889527628e-11,1.7812066433693572e-11,1.7812260401538304e-11,1.7812461357834808e-11,1.7812655867990116e-11,1.7812849376661233e-11,1.781304215672679e-11
 H2,nan,3.2231406761324562e-12,3.2266493712861693e-12,3.226760903853447e-12,3.2267853091594266e-12,3.226834403679874e-12,3.2268797246138415e-12,3.2268865823757803e-12,3.226926733425417e-12,3.2269697807169556e-12,3.2270125990628652e-12,3.227054811899816e-12,3.2270968871222108e-12,3.227138100275858e-12,3.227178639311037e-12,3.2272185268419967e-12,3.2272580567355066e-12,3.227298738088647e-12,3.2273375349481975e-12,3.227375784443803e-12,3.227413622869142e-12,3.227450902998889e-12,3.2274865706074723e-12,3.2275230547129606e-12,3.227559346368468e-12,3.2275953850317737e-12,3.227631234949211e-12,3.2276671933118725e-12,3.227702731017767e-12,3.227738075581554e-12,3.227773246776131e-12,3.227808297959387e-12,3.2278435096415305e-12,3.2278783918968612e-12,3.2279131276292638e-12,3.2279477249771e-12,3.2279827589086295e-12,3.2280215291937454e-12,3.2280572050526646e-12,3.228092599619243e-12,3.2281278968221978e-12,3.2281633894105903e-12,3.2282007610345154e-12,3.2282365320645275e-12,3.2282721156919554e-12,3.2283075984288753e-12,3.2283429980228155e-12,3.2283784255331905e-12,3.2284141540006347e-12,3.228449900688446e-12,3.228485589897731e-12,3.2285209843143274e-12,3.2285548919037016e-12,3.228590078863547e-12,3.228625274137049e-12,3.2286603564436545e-12,3.2286955155475923e-12,3.228731941395625e-12,3.228767198799894e-12,3.2288022746726233e-12,3.228837218476481e-12
