 ,0 minute,1 minute,2 minute,3 minute,4 minute,5 minute,6 minute,7 minute,8 minute,9 minute,10 minute,11 minute,12 minute,13 minute,14 minute,15 minute,16 minute,17 minute,18 minute,19 minute,20 minute,21 minute,22 minute,23 minute,24 minute,25 minute,26 minute,27 minute,28 minute,29 minute,30 minute,31 minute,32 minute,33 minute,34 minute,35 minute,36 minute,37 minute,38 minute,39 minute,40 minute,41 minute,42 minute,43 minute,44 minute,45 minute,46 minute,47 minute,48 minute,49 minute,50 minute,51 minute,52 minute,53 minute,54 minute,55 minute,56 minute,57 minute,58 minute,59 minute,60 minute
p1,0.0,5.924069654201288e-06,5.257544379770017e-05,0.00020667514607538952,0.0003600484443183349,0.000549478884342549,0.0005866219981164594,0.0006502804810350967,0.0006595970403044404,0.0006382400858270043,0.000599390724474429,0.0005580263773642636,0.0005123926907599647,0.00046566351262041205,0.00042037951154691775,0.00037783393619997263,0.00033921496513869266,0.0003037897542599586,0.000271556279427699,0.00024241328788736252,0.00021617635695778462,0.00019249191910114557,0.00017132911194622612,0.000152477618794263,0.00013559818986336284,0.00012053806280462418,0.00010738888965411552,9.559405996476706e-05,8.500178472720688e-05,7.5518628568958e-05,6.704687000127501e-05,5.955693601480425e-05,5.286699722724389e-05,4.689326601011431e-05,4.1568507482077146e-05,3.682846183842473e-05,3.276877154224476e-05,2.91179369766465e-05,2.5834427799796432e-05,2.2894540676486338e-05,2.0270768215675217e-05,1.7959807422786402e-05,1.589866950431287e-05,1.406261640507134e-05,1.2429997273799253e-05,1.0980325989336514e-05,9.748742324499366e-06,8.645114975638505e-06,7.651375793574942e-06,6.761921213112772e-06,5.969098388710886e-06,5.269199193171754e-06,4.647843336594125e-06,4.095833129874631e-06,3.6065075293093574e-06,3.1734387292450023e-06,2.7979869781785166e-06,2.46463343380832e-06,2.1683517160583034e-06,1.9057533308233666e-06,1.6734963336771485e-06
p2,0.0,1.698510244559644e-10,3.048456232187686e-08,3.9570650783695825e-07,1.569044522335036e-06,3.7837857262009363e-06,6.073516729684379e-06,9.435231026755469e-06,1.3006526919991831e-05,1.605603807375524e-05,1.835150817323798e-05,2.0053458358285896e-05,2.1117785482656875e-05,2.158421774663243e-05,2.1583607675324587e-05,2.1233823713170472e-05,2.0664073727038232e-05,1.99167597628399e-05,1.9044308875716005e-05,1.809537051483529e-05,1.7106832686074774e-05,1.6098403190984174e-05,1.5099429472353997e-05,1.4123768426897915e-05,1.3180683674192279e-05,1.2276232404962419e-05,1.1437932588335785e-05,1.0643812175426714e-05,9.884759754068644e-06,9.164560534159535e-06,8.485246738282213e-06,7.85429205452991e-06,7.263816333746882e-06,6.7100385210590505e-06,6.192483303911501e-06,5.710145667972306e-06,5.2818359520817225e-06,4.883377017713638e-06,4.507199378511511e-06,4.15434825992088e-06,3.825096702935825e-06,3.523037582675694e-06,3.242535308018607e-06,2.981692435874814e-06,2.739752476972141e-06,2.515816172920045e-06,2.3189554331864978e-06,2.137998002855144e-06,1.9671928627901675e-06,1.8071981440804508e-06,1.6582383521127823e-06,1.5211401361287554e-06,1.3946699460004256e-06,1.2774731951191724e-06,1.169162663997027e-06,1.069274141822678e-06,9.79330737481669e-07,8.966628120861823e-07,8.199583691001577e-07,7.490307561708172e-07,6.836328790878605e-07
p3,0.0,2.683797784056325e-51,2.467494835033597e-44,4.258967766601031e-10,4.725979619371828e-09,1.787966432473104e-08,4.3935833940195216e-08,8.977336031027383e-08,1.5271190129757126e-07,2.2389700328895692e-07,2.948828058329013e-07,3.620532651518466e-07,4.213138585487581e-07,4.6931522244651977e-07,5.056341461629873e-07,5.310023010965669e-07,5.473245650092202e-07,5.55454703367342e-07,5.564624690529622e-07,5.516240691941212e-07,5.421352016527165e-07,5.288300506054232e-07,5.128169857424071e-07,4.948541566586671e-07,4.755468399380902e-07,4.5537509717942095e-07,4.354099347134889e-07,4.1551885955101504e-07,3.954117786228612e-07,3.7531855928030926e-07,3.5547827441971186e-07,3.3630425335002666e-07,3.177517437662358e-07,2.997501140448192e-07,2.823699471220415e-07,2.656743122470425e-07,2.504627656216691e-07,2.3610709400529068e-07,2.2220213796813247e-07,2.087810916090984e-07,1.9591559362465546e-07,1.838240507222707e-07,1.7235486573944695e-07,1.6144589360371274e-07,1.5109437316588658e-07,1.4129961782330521e-07,1.3249100210316123e-07,1.2436536425553492e-07,1.1654438915313184e-07,1.0903558375148266e-07,1.0187658570208136e-07,9.513391544141341e-08,8.880118249461322e-08,8.281219106950542e-08,7.716082734997836e-08,7.184130903209854e-08,6.69518300818817e-08,6.239841349625567e-08,5.809307591251282e-08,5.402707911491436e-08,5.019922916430575e-08
p4,0.0,0.0,1.5931463258249653e-11,4.940123448330255e-45,5.367908132996e-43,9.671845671337626e-42,8.834569107189907e-41,4.00762529870022e-40,5.160059863820652e-10,1.1882539406100495e-09,1.9365852689041814e-09,2.707225307762984e-09,3.452912257685097e-09,4.135913628034518e-09,7.047435776549607e-09,8.585754986168588e-09,9.60028592024462e-09,1.0332654244169079e-08,1.0863306196178531e-08,1.1228217161988228e-08,1.145119290115832e-08,1.1548284854410195e-08,1.1541614550420767e-08,1.1448314079602826e-08,1.1283852502406602e-08,1.1061596471911943e-08,1.0806494985492405e-08,1.0523857512421857e-08,1.0209755074009275e-08,9.870085162969077e-09,9.512332558629496e-09,9.148322868869412e-09,8.780908355032817e-09,8.410452022827499e-09,8.040029365699535e-09,7.672825321667337e-09,7.2573370415860685e-09,6.861383639594731e-09,6.484530997456489e-09,6.12627030532649e-09,5.7860365344199735e-09,5.4632326704215206e-09,5.1572142233904376e-09,4.867314031750411e-09,4.592855871845781e-09,4.333162156563537e-09,4.0875770161385195e-09,3.855435062829892e-09,3.6360756352316302e-09,3.428859404856083e-09,3.2331696029730474e-09,3.0484132854502926e-09,2.8740196323818047e-09,2.709440094803942e-09,2.5541498610193327e-09,2.407647669168104e-09,2.2694567302449686e-09,2.1391214916454266e-09,2.016208119179408e-09,1.900304681128254e-09,1.7910354345309757e-09
p5,0.0,0.0,1.7263840485243279e-47,0.0,0.0,0.0,0.0,0.0,6.387356610253049e-42,2.5797285386105035e-41,7.433845638941837e-41,1.7883389265605594e-40,3.792749923846514e-40,7.299476316206978e-40,5.741520557153577e-39,1.0910780132949237e-38,1.9233229782570333e-38,3.214983802081403e-38,5.138861232567167e-38,7.903222620531184e-38,1.175269588412827e-37,1.6969931812431638e-37,2.38669066936403e-37,3.278221278446351e-37,4.4076681257435854e-37,5.812686031836199e-37,7.532182470242737e-37,9.605259468818789e-37,1.2070461783527592e-36,1.4965186192182289e-36,1.8324927837240212e-36,2.2181715928730987e-36,2.6565832445153316e-36,3.150384850365821e-36,3.701782076009664e-36,4.312506439045941e-36,4.082713577146289e-36,3.866256564416824e-36,3.662242173391551e-36,3.469837406920617e-36,3.288267076260474e-36,3.116809202531464e-36,2.9547968581510664e-36,2.8016138572200077e-36,2.6566904638780713e-36,2.519500337038736e-36,2.3895579617930897e-36,2.2664164686164703e-36,2.149663338991199e-36,2.0389175401612292e-36,1.9338270686429833e-36,1.8340671963081443e-36,1.739337673094206e-36,1.6493602306146858e-36,1.563876864084863e-36,1.4826480853058098e-36,1.405451124013559e-36,1.3320788770426847e-36,1.2623382934636355e-36,1.1960489080995636e-36,1.1330416572006156e-36
p6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
